dim_is_requested,ds_night,id_listing_anon,id_user_anon,m_effective_daily_price,m_pricing_cleaning_fee,dim_market,dim_lat,dim_lng,dim_room_type,dim_person_capacity,dim_is_instant_bookable,m_checkouts,m_reviews,days_since_last_booking,cancel_policy,image_quality_score,m_total_overall_rating,m_professional_pictures,dim_has_wireless_internet,ds_night_day_of_week,ds_night_day_of_year,ds_checkin_gap,ds_checkout_gap,occ_occupancy_plus_minus_7_ds_night,occ_occupancy_plus_minus_14_ds_night,occ_occupancy_trailing_90_ds,m_minimum_nights,m_maximum_nights,price_booked_most_recent,listing_m_listing_views_2_6_ds_night_decay,general_market_m_unique_searchers_0_6_ds_night,general_market_m_contacts_0_6_ds_night,general_market_m_reservation_requests_0_6_ds_night,m_available_listings_ds_night,list_count
FALSE,7/5/15,4743c732-ffe6-41a4-8072-92fc52c0a9d4,83d24581-8e36-41f5-ac2d-115ce6ed3b4b,101.4993734,16.82707214,Paris,48.883163,2.341829,Entire home/apt,2,FALSE,0,0,NA,3,NA,0,0,1,0,186,7,7,0,0,0,1,1125,NA,0,2426.428571,680.4285714,139.7142857,22177,1
FALSE,7/5/15,937f09ed-95f1-4ff9-bcf7-177fc639d58b,e5e69b63-b1ea-4d9c-a60b-b6df98fd26ad,202.9987468,78.52633667,Paris,48.866547,2.347478,Entire home/apt,6,FALSE,1,0,15,3,0.261624,0,0,1,0,186,1,7,0,0,0.162162162,3,15,127,0.4,2426.428571,680.4285714,139.7142857,22177,1
TRUE,7/6/15,6bf0da76-14f9-479a-83ee-9b698d26005a,496afe51-e605-42e0-aafc-974f5ade7528,113.4645867,56.74789276,Paris,48.865116,2.34704,Entire home/apt,3,FALSE,5,3,6,4,0.997088,15,13,1,1,187,7,1,0.4,0.379310345,0.305555556,2,7,143,1.133333333,2471.142857,656.5714286,142.8571429,22228,2
FALSE,7/3/15,212bed83-6756-4ff5-b1d1-3a75ade0d768,0c234dda-3633-4597-bd71-077d3a3ab6e8,88.15232759,22.43609619,Paris,48.81945,2.416517,Entire home/apt,4,FALSE,7,4,33,3,0.238035,17,0,1,5,184,7,7,0,0,0.389473684,1,30,100,0,2542,666.4285714,150.2857143,21544,1
FALSE,7/4/15,937f09ed-95f1-4ff9-bcf7-177fc639d58b,e5e69b63-b1ea-4d9c-a60b-b6df98fd26ad,279.5419949,78.52633667,Paris,48.866547,2.347478,Entire home/apt,6,FALSE,1,0,14,3,0.261569,0,0,1,6,185,0,7,0,0,0.148648649,3,15,127,0.2,2643.285714,692.2857143,156.1428571,22088,1
TRUE,7/7/15,8e42bf62-634e-4365-96ab-d947be13e26e,91906c11-f303-4976-87ef-9f07f2bbdf7c,39.66666667,0,Paris,48.849445,2.581696,Private room,2,FALSE,87,44,2,5,0.950751,184,11,1,2,188,1,7,0.333333333,0.44,0.272727273,2,30,39,0.133333333,2447.428571,770.4285714,160.1428571,22289,1
FALSE,7/3/15,34a2143e-b566-4732-a231-b9551e1c6668,489adc84-79de-4996-897d-559107e7b6ce,121.2094504,0,Paris,48.873135,2.363097,Entire home/apt,4,FALSE,2,2,770,4,0.998566,10,16,0,5,184,3,7,0,0,NA,7,1125,71,0,2542,666.4285714,150.2857143,21544,1
TRUE,7/5/15,61b3fc5f-381e-47e9-a4b1-9c505250229d,4851dada-5da0-4f60-bccc-e108700e3a34,158.7857143,0,Paris,48.889923,2.322659,Entire home/apt,4,FALSE,4,4,8,3,0.456393,17,0,1,0,186,7,7,0,0,0.189189189,1,1125,157,0,2426.428571,680.4285714,139.7142857,22177,1
FALSE,7/5/15,e00a9f95-f81b-4d81-849e-45c788f70ecf,e19c223e-7dd6-4860-a6d9-c28eece83fb6,90.22166525,0,Paris,48.87801,2.327775,Private room,1,FALSE,0,0,NA,3,0.253699,0,0,0,0,186,7,7,0,0,NA,1,1125,NA,0,2426.428571,680.4285714,139.7142857,22177,1
FALSE,7/1/15,56c9735b-5dc8-4911-bc19-aa5815829950,80315703-28c4-4642-9535-791f7fefde15,215,85,San Francisco,37.806488,-122.419334,Entire home/apt,4,TRUE,78,38,1,5,0.951565,147,6,1,3,182,1,1,0.583333333,0.708333333,0.676470588,2,120,195,0.866666667,945.4285714,119.1428571,21.71428571,2285,1
TRUE,7/1/15,b1adc5e7-41cb-49f3-8b4b-b0333c9a8141,531d28ad-0e6e-4689-9259-1b7addaf716e,39.9620375,22.37962503,Paris,48.8726,2.45224,Private room,2,FALSE,3,1,44,3,0.017661,4,0,0,3,182,7,7,0,0,0,1,15,38,0,2311,627.5714286,140.2857143,20164,1
FALSE,7/6/15,5ae7b08d-c037-44f8-bf46-077345aee414,321daffb-df0c-4ca8-a156-51e2a28ed673,55.92841202,0,Paris,48.904713,2.235055,Private room,2,FALSE,10,9,99,5,0.727575,30,0,1,1,187,7,7,0,0,0.057142857,2,14,57,0,2471.142857,656.5714286,142.8571429,22228,1
FALSE,7/6/15,af87839a-80d6-49bc-9041-21ca35ce0729,4ce68daf-8e2b-44e9-903f-2a9a5d65b591,67.11409443,0,Paris,48.886627,2.377641,Entire home/apt,2,FALSE,8,3,411,3,0.173926,15,0,1,1,187,7,7,0,0,0,5,365,83,0,2471.142857,656.5714286,142.8571429,22228,1
FALSE,7/4/15,e880f480-dfd9-4e7c-8ea1-a147a83338c5,89701db0-9538-4427-8d91-aaab7ffd8dfa,700,200,Los Angeles,34.16697,-118.55474,Entire home/apt,8,FALSE,0,0,NA,5,0.689221,0,0,1,6,185,7,7,0,0,NA,30,1125,NA,0,2104.857143,467.1428571,79.42857143,8337,1
FALSE,7/1/15,b2004e6f-e477-45a4-9ef7-276addab268c,46edfc34-3365-47a6-aa03-d765ba58bdbb,109.9088313,0,Paris,48.844288,2.509396,Private room,4,FALSE,0,0,NA,3,0.626919,0,0,1,3,182,7,7,0,0,0,1,1125,NA,0,2311,627.5714286,140.2857143,20164,3
FALSE,7/4/15,af19276b-81f7-4933-a14b-7a896c4fdb37,0794a503-508b-48e9-b8ed-a34c2036b0ef,89.45343837,56.09024048,Paris,48.779476,2.4033,Entire home/apt,5,FALSE,7,5,78,5,NA,24,18,1,6,185,7,7,0,0,0.333333333,3,15,81,0.333333333,2643.285714,692.2857143,156.1428571,22088,2
FALSE,7/6/15,1c2a9774-6089-4603-86ce-f8fa860ab302,b8ac30a9-8fc3-4edc-a0d8-542442857fd7,39.14988841,0,Paris,48.90668,2.444364,Private room,2,FALSE,8,0,202,5,0.463099,0,0,1,1,187,7,7,0,0,0,4,1125,44,2.133333333,2471.142857,656.5714286,142.8571429,22228,3
TRUE,7/7/15,f741a803-f413-4172-87ec-4171b4a27b1d,35be6b1c-ff30-48cc-b17f-fbb764f469ec,75,25,Los Angeles,34.014122,-118.44193,Private room,2,FALSE,22,15,1,4,0.910218,70,0,1,2,188,7,7,0,0,0.516853933,1,1125,75,1.933333333,1768.428571,448.1428571,62.71428571,8965,1
FALSE,7/1/15,436519c4-a8a8-4b58-b6bf-bd803418d894,3a0f4489-47dd-4897-852e-c1e7c7ca9fe4,218.7185743,44.87219238,Paris,48.86001,2.353756,Entire home/apt,4,FALSE,8,5,54,5,0.685614,17,0,1,3,182,0,0,0,0,0.1875,3,60,182,0,2311,627.5714286,140.2857143,20164,3
FALSE,7/2/15,f632687a-26a7-496d-8338-be50c66385b7,477e684a-1457-4862-9e80-65a7fbb724d0,54.68844093,33.65414429,Paris,48.86407,2.352001,Entire home/apt,2,TRUE,86,58,6,3,0.795538,246,13,1,4,183,0,0,0.933333333,0.931034483,0.894117647,2,1125,55,0,2397,676.7142857,144,20407,1
TRUE,7/2/15,75f82521-05bc-4117-8f23-fad065cba93c,07102f9a-961a-4d58-9dcf-22ed26a9ce1c,68,0,Los Angeles,34.067154,-118.24497,Private room,2,TRUE,1,0,3,4,0.139833,0,0,1,4,183,7,7,0,0,0.966666667,1,365,68,2.533333333,1833.714286,404.2857143,62.28571429,8676,2
TRUE,7/2/15,68a52782-7bae-4e79-9209-1666e81b5f7c,96f6db3d-462e-4000-b345-1b30d9d1c18f,83.33333333,0,Paris,48.797016,2.12517,Entire home/apt,2,FALSE,15,8,21,4,0.245579,40,0,1,4,183,7,3,0.266666667,0.346153846,0.595744681,4,35,76,0.266666667,2397,676.7142857,144,20407,1
FALSE,7/4/15,49ce6549-dd39-4173-ae49-af8c1a5fb9e8,00b4acba-8671-42a9-864f-9dbe838a0d92,133.0619896,39.26316833,Paris,48.861877,2.382891,Entire home/apt,4,FALSE,29,16,235,4,0.453215,61,0,1,6,185,7,7,0,0,0,1,1125,138,0,2643.285714,692.2857143,156.1428571,22088,1
TRUE,7/4/15,58599010-a1ea-445a-972c-ec6a7d7f466b,1001053d-3353-41ec-8e32-401d13fe7868,318.3555437,73.93336893,Paris,48.884888,2.335299,Entire home/apt,4,FALSE,26,18,23,5,0.819606,87,33,1,6,185,0,7,0,0,0.421052632,3,90,242,0,2643.285714,692.2857143,156.1428571,22088,1
TRUE,7/4/15,afe7f657-9459-43f6-be47-83e1624158ca,542aa0e6-c718-453d-bf62-cab911c12fd9,196,0,Paris,48.82396,2.333815,Entire home/apt,5,FALSE,54,31,3,4,NA,135,0,1,6,185,2,1,0.333333333,0.529411765,0.526315789,3,150,148,1.2,2643.285714,692.2857143,156.1428571,22088,1
FALSE,7/7/15,511f572e-359f-489e-b67e-6448f4d32a95,ace5b7e5-8505-4f7a-a16e-549ba066355b,83.35231953,67.17573547,Paris,48.87247,2.379698,Entire home/apt,2,FALSE,10,9,38,5,0.476501,42,0,1,2,188,7,7,0,0,0.753623188,4,1125,63,0.866666667,2447.428571,770.4285714,160.1428571,22289,1
FALSE,7/2/15,2c725197-7ecb-4761-b779-aab4861ecffc,19238a8a-e495-41ae-b804-d33e20c9d07b,100,0,Los Angeles,34.10877,-118.01637,Private room,1,FALSE,0,0,NA,3,0.116367,0,0,1,4,183,7,7,0,0,0,1,2,NA,0,1833.714286,404.2857143,62.28571429,8676,1
FALSE,7/7/15,f27d0f7a-148a-46c1-b103-e7280c8c71c9,196bd095-1246-4782-964f-709bd49a9af9,177.8182817,55.97977448,Paris,48.869003,2.059811,Entire home/apt,8,FALSE,0,0,NA,3,NA,0,0,1,2,188,3,7,0,0,NA,5,1125,NA,0,2447.428571,770.4285714,160.1428571,22289,1
TRUE,7/3/15,dabd978e-05e9-48a3-906e-08a6fecaade9,e257f624-c04a-42d0-a289-0fc88bea547a,270,85,Los Angeles,33.99254,-118.476685,Entire home/apt,6,FALSE,171,97,2,5,0.598728,444,22,1,5,184,1,0,0.8,0.896551724,0.88172043,1,1125,295,0.066666667,2047.571429,439.4285714,74,8411,1
TRUE,7/3/15,f70dd4ed-4b6d-49cb-ad11-690b0c1cd653,d7ff71d6-dd54-4906-b9b8-1fbb475e874e,261.6666667,0,Los Angeles,33.9877,-118.47249,Private room,5,FALSE,3,1,36,5,0.446151,4,0,1,5,184,7,7,0,0,0.011111111,1,1125,180,0.133333333,2047.571429,439.4285714,74,8411,9
TRUE,7/2/15,a4916f23-4bca-412b-9c81-18da80b32698,84a7383b-c545-4380-a84c-474ff62b3bdc,92.33461555,56.32692226,Paris,48.897232,2.342298,Entire home/apt,6,FALSE,29,19,2,5,0.564067,79,0,1,4,183,4,7,0.133333333,0.137931034,0.111111111,2,30,164,0.333333333,2397,676.7142857,144,20407,1
TRUE,7/5/15,9f71134e-6620-458a-80c5-445ef51a2d58,8b7169d9-7c3c-4f69-bdde-2b9d188dea7d,144.4,0,Paris,48.858997,2.358261,Entire home/apt,2,FALSE,2,0,17,5,NA,0,0,1,0,186,6,7,0,0,0,5,20,160,0.933333333,2426.428571,680.4285714,139.7142857,22177,1
TRUE,7/6/15,51103548-4fc3-48e8-bea8-a25dd289db1a,4c68b5e7-59d0-4c70-a7da-e712971e8bb9,79,0,San Francisco,37.73861,-122.415634,Private room,2,TRUE,41,19,2,5,0.35398,94,0,1,1,187,2,2,0.5,0.590909091,0.68115942,5,365,79,0.333333333,927.5714286,122.5714286,26.14285714,2304,1
TRUE,7/2/15,40a58ff2-a2e0-4c26-8ff7-f79ad094bdd5,1cdee3ae-9331-4995-be7a-5272415ad971,62.59381848,22.46799671,Paris,48.63283,2.423941,Entire home/apt,4,FALSE,13,5,33,4,0.740884,22,14,1,4,183,0,0,0,0,0.139534884,2,1125,104,0.666666667,2397,676.7142857,144,20407,1
FALSE,7/5/15,0783eb15-fa48-4efc-8de7-1229fd987f54,6d2caedb-b97e-4f5d-b774-6347ff22053e,67.66624894,0,Paris,48.89253,2.120765,Entire home/apt,3,FALSE,0,0,NA,4,0.539719,0,0,0,0,186,3,3,0,0,0,1,1125,NA,0,2426.428571,680.4285714,139.7142857,22177,1
TRUE,7/3/15,90f1d432-e223-44f9-8cef-3c3fc483e1e3,e645200f-a050-41ab-87c2-9c972bcfef69,178,50,San Francisco,37.788925,-122.41336,Entire home/apt,3,FALSE,16,13,3,4,0.988559,63,15,1,5,184,1,5,0.416666667,0.352941176,0.805555556,5,29,168,2.533333333,1092.857143,133.8571429,28.28571429,2304,1
FALSE,7/2/15,757b2518-00f3-496b-8621-c5b7e6fcc546,dcc74708-d5c4-47b2-bc0c-97bf5abfcd99,175,0,Los Angeles,34.053932,-118.36297,Entire home/apt,7,FALSE,0,0,NA,3,0.897046,0,19,1,4,183,7,7,0,0,0,1,1125,NA,11.93333333,1833.714286,404.2857143,62.28571429,8676,1
TRUE,7/2/15,bbbe968f-9897-4f51-b627-f74a0b5ef04f,d696d12e-9ac8-40ff-8560-fcbdbd8b89dc,73,0,Paris,48.83103,2.357534,Private room,1,FALSE,13,7,5,5,0.9851,33,15,1,4,183,7,7,0,0,0,1,2,71,0,2397,676.7142857,144,20407,1
TRUE,7/6/15,e8f67e03-c9a3-4883-918d-27e8f92a756a,bf20f3a8-6115-4b3d-8f59-fda2b487f609,38.27777778,0,Paris,48.8478,2.271997,Private room,1,FALSE,10,6,20,5,0.198642,25,0,1,1,187,6,5,0.076923077,0.4,0.666666667,4,180,38,0.8,2471.142857,656.5714286,142.8571429,22228,1
FALSE,7/7/15,117e1491-2e4c-49d3-90f7-335a980c9e98,45d0d5eb-37a8-4c79-8967-bbd6e4e0da46,87.79777657,0,Paris,48.83768,2.345423,Entire home/apt,2,FALSE,3,3,244,4,0.435881,14,0,1,2,188,7,7,0,0,0,3,7,87,0,2447.428571,770.4285714,160.1428571,22289,1
TRUE,7/7/15,30080778-159d-483e-bbac-25ebf18f8ac3,ea73fcd5-cfc1-4b10-9228-a913cd75889f,469.99301,112.02097,Paris,48.898182,2.238296,Entire home/apt,10,FALSE,6,5,72,5,0.391031,22,0,1,2,188,7,7,0,0.103448276,0.023255814,2,30,459,0.133333333,2447.428571,770.4285714,160.1428571,22289,1
TRUE,7/1/15,23118fcf-ce70-4299-b26f-cbeb228ef995,badd7361-0e82-4037-9696-e30f86bec7a9,43.40206121,33.48457202,Paris,48.880924,2.344989,Entire home/apt,2,FALSE,10,4,229,5,0.140525,20,0,1,3,182,7,7,0,0,NA,3,1125,49,3.066666667,2311,627.5714286,140.2857143,20164,1
TRUE,7/2/15,f69070df-2fed-43fd-9886-82509e9cfa35,2a7dd4e2-b31f-43aa-916a-79992389cc63,66.5,0,Paris,48.872017,2.391948,Entire home/apt,4,FALSE,13,10,6,3,0.413435,43,0,1,4,183,7,7,0,0,0.177777778,5,365,65,0.266666667,2397,676.7142857,144,20407,1
TRUE,7/4/15,9482f575-66a7-4346-9e5a-8262bda28a87,cb4cd47d-7286-4b62-9ee3-a1cb50ac35ea,64.94620318,22.21518728,Paris,48.868988,2.371607,Entire home/apt,4,FALSE,56,25,41,5,0.989503,92,12,1,6,185,4,7,0.2,0.344827586,0.707865169,2,365,62,1.4,2643.285714,692.2857143,156.1428571,22088,1
FALSE,7/5/15,cc7621c7-37e1-489f-ab55-28c5b9c4e808,5c1cf96a-035f-4190-8dd6-b70321c9bb96,56.38854078,0,Paris,48.814854,2.346638,Private room,2,FALSE,0,0,NA,3,NA,0,0,1,0,186,7,7,0,0,0,1,1125,NA,0,2426.428571,680.4285714,139.7142857,22177,1
TRUE,7/6/15,0730db0e-d18e-4ede-b5b1-cdaa2d364ed3,2d9854df-2b62-41c1-ac7a-cb13b544795b,72.75,0,Paris,48.87341,2.380591,Entire home/apt,3,FALSE,0,0,NA,3,0.054187,0,0,1,1,187,7,5,0,0,0,1,1125,NA,0,2471.142857,656.5714286,142.8571429,22228,1
FALSE,7/4/15,3c2fd511-6fd8-4a94-baec-aec46f68c2e6,5000ce41-dd2f-40e9-b457-c09caf36b5e6,200,100,Los Angeles,34.100193,-118.44405,Entire home/apt,6,FALSE,72,30,4,5,0.132231,106,0,1,6,185,7,7,0,0.103448276,0.365591398,2,365,195,1.266666667,2104.857143,467.1428571,79.42857143,8337,1
FALSE,7/2/15,6c69a57b-5c8f-41e4-8103-940afe40cb79,f06561ce-4e3d-4cb9-8a85-5d1ecf1c955e,109.3768819,33.65414429,Paris,48.881226,2.340084,Entire home/apt,2,TRUE,10,8,627,4,NA,33,22,1,4,183,7,7,0,0,0,2,365,104,0,2397,676.7142857,144,20407,1
FALSE,7/4/15,03b9ae01-a2e8-4b49-bd11-751809e45368,3f388cbc-04c2-4761-87da-f7a2f36f3446,61.49923888,22.43609619,Paris,48.876595,2.387044,Entire home/apt,2,FALSE,3,3,497,4,0.828626,10,0,1,6,185,7,7,0,0,0,5,10,122,0,2643.285714,692.2857143,156.1428571,22088,1
FALSE,7/4/15,4f24b53f-2b34-44ec-bd70-0a7423c532f8,d619f56f-32f2-46a3-8847-8d912031f4e2,109.580462,44.87219238,Paris,48.87729,2.2928,Entire home/apt,2,FALSE,15,6,9,3,0.222176,29,0,1,6,185,7,7,0,0,0.098901099,2,14,94,0,2643.285714,692.2857143,156.1428571,22088,1
TRUE,7/2/15,0568ca11-9051-4b8e-9290-a966305d11e4,93e0ded7-c705-41d6-abe7-99c46c4418e4,55.71428571,10,Los Angeles,34.068577,-118.31733,Private room,2,FALSE,7,5,337,3,0.06572,24,0,0,4,183,7,7,0,0,0,1,14,74,0,1833.714286,404.2857143,62.28571429,8676,3
FALSE,7/5/15,eaeb1c08-89f5-4f47-92df-d367bf2eddd6,85734516-b70d-4510-9df2-f172a3e1cea1,550,150,Los Angeles,34.087128,-118.41161,Entire home/apt,4,FALSE,10,8,27,5,0.730268,37,18,1,0,186,7,7,0,0,0.630136986,3,1125,450,0.466666667,1837.571429,422.1428571,59.57142857,8809,2
FALSE,7/1/15,114d1a78-eb69-478e-b087-28b2fd2810f6,bbfbb068-73b6-4289-82e2-0f161b727294,109.9088313,0,Paris,48.894726,2.290791,Entire home/apt,2,FALSE,0,0,NA,5,0.689506,0,0,1,3,182,7,7,0,0,0,7,1125,NA,0,2311,627.5714286,140.2857143,20164,1
FALSE,7/2/15,5ea660a3-93e9-4123-9b86-96dd64f2bfca,30904feb-81a3-4434-a3ec-d1e0d1c40679,87.50150549,0,Paris,48.886787,2.359584,Entire home/apt,3,FALSE,0,0,NA,4,0.183485,0,0,1,4,183,6,7,0,0,0,3,14,NA,0,2397,676.7142857,144,20407,1
FALSE,7/3/15,fcc7a004-2259-4466-acce-1ca0df561aba,76a0aa8f-fa15-42c2-ab13-887923e00b81,59.50282113,11.2180481,Paris,48.892662,2.36282,Entire home/apt,2,FALSE,2,2,178,4,0.396193,8,0,1,5,184,7,7,0,0,0,1,1125,52,0,2542,666.4285714,150.2857143,21544,1
FALSE,7/4/15,b5266b83-1dc7-47ba-8d42-dd66037f79b8,41d906f7-2556-4309-a406-f9a7a9e2c30c,0,0,San Francisco,37.758934,-122.4373,Entire home/apt,2,FALSE,1,0,6,3,NA,0,0,0,6,185,7,7,0,0,0.071428571,1,1125,0,0,1095.285714,128.5714286,28.14285714,2281,1
FALSE,7/4/15,4ee1e57f-7fe6-4249-beab-b2e09c510734,3015d486-92de-4198-8937-a5bdf11f9908,130,10,Los Angeles,34.085655,-118.288925,Entire home/apt,2,FALSE,3,3,88,3,NA,14,0,1,6,185,1,0,0,0,0.2,2,7,118,0,2104.857143,467.1428571,79.42857143,8337,1
TRUE,7/7/15,9c20bc49-c460-4fa8-ba06-9de11b1d6979,805f744e-d26b-494d-91f6-69a0c5b05fd8,22.5,140,Los Angeles,34.089855,-118.38564,Entire home/apt,7,FALSE,9,5,16,5,0.763097,25,0,1,2,188,7,5,0,0,0.217948718,1,1125,519,0,1768.428571,448.1428571,62.71428571,8965,1
FALSE,7/5/15,2b72bde4-fc49-49d9-9048-6f7015e0ed3a,7bd8aaf9-33ab-4156-bef6-1fcf1090d257,101.4993734,44.87219238,Paris,48.890755,2.335897,Entire home/apt,2,FALSE,32,16,15,4,0.9975,77,18,1,0,186,6,5,0.2,0.379310345,0.545454545,1,1125,102,0,2426.428571,680.4285714,139.7142857,22177,1
FALSE,7/5/15,9094fe85-d2d9-4c12-b0f9-d722c1d530f1,d03c5095-c3dc-40df-a52e-a87c9b7faf6a,95.86051933,44.87219238,Paris,48.86906,2.386001,Entire home/apt,4,FALSE,0,0,28,4,0.134908,0,0,0,0,186,5,7,0.133333333,0.310344828,0,3,12,68,0,2426.428571,680.4285714,139.7142857,22177,1
FALSE,7/1/15,ecf59cf3-186f-4fb0-be95-73e34245266f,ba2146af-67bc-4968-8fdd-b73509b907eb,40.66626758,5.609024048,Paris,48.68938,2.419036,Private room,1,FALSE,0,0,0,3,0.436467,0,0,1,3,182,1,7,0.4,0.448275862,0,2,1125,15,5.933333333,2311,627.5714286,140.2857143,20164,1
FALSE,7/3/15,678c76d1-85e6-4f88-8caf-25963f981f6a,4cf1ccc7-ce43-4165-8e49-986aee21a9b1,110.1904095,22.43609619,Paris,48.888126,2.364176,Entire home/apt,6,FALSE,4,4,199,5,0.64281,18,0,1,5,184,7,0,0,0,0,4,365,150,2.4,2542,666.4285714,150.2857143,21544,2
FALSE,7/1/15,7d871ee2-87d8-4dfe-897f-bc03ce8a9914,d6c00752-65fa-4b6a-81c8-9e64e212c13b,38.46809095,0,Paris,48.8373,2.258181,Entire home/apt,2,FALSE,0,0,NA,5,0.468872,0,0,1,3,182,7,7,0,0,0,30,30,NA,0,2311,627.5714286,140.2857143,20164,1
FALSE,7/3/15,a9f3ca0a-65d6-424b-a966-a8cd112b9d2d,e571eac4-4551-450f-afff-ab9840ad0242,82.64280712,0,Paris,48.876507,2.3555,Entire home/apt,2,FALSE,13,8,178,3,0.992204,38,13,1,5,184,7,7,0,0,0,2,1125,109,0,2542,666.4285714,150.2857143,21544,1
FALSE,7/4/15,ec464d95-2093-4b44-bf3a-a645bfd7c89e,2844959d-55d4-4f08-adda-c6dd2219d5c6,134.1801576,33.65414429,Paris,48.8852,2.337445,Entire home/apt,2,TRUE,1,0,21,4,NA,0,0,1,6,185,7,2,0.133333333,0.068965517,0,1,10,123,0,2643.285714,692.2857143,156.1428571,22088,1
TRUE,7/2/15,9a34e9f3-68b6-4e56-93e6-fdbc81a0e308,467862ed-6997-40c5-9f7d-0976bc67c975,169,35,San Francisco,37.753708,-122.42152,Entire home/apt,3,FALSE,162,96,1,5,0.614768,388,27,1,4,183,3,7,0.266666667,0.379310345,0.67032967,2,21,169,1.733333333,1006,126.8571429,25,2311,2
FALSE,7/1/15,6de99864-2d50-4ace-baa5-cb5af3beb14f,41e7ea09-669f-4a76-895a-f7df3246df0c,1050,0,Los Angeles,33.98261,-118.46727,Entire home/apt,9,FALSE,2,1,55,4,0.942426,5,0,1,3,182,7,7,0,0,0.022222222,1,1125,1100,0.266666667,1658.142857,367.7142857,47.85714286,8955,1
